HIP;RAhms;DEdms;Vmag;RAICRS;DEICRS;Plx;pmRA;pmDE;e_Plx;B-V;Notes;_RA.icrs;_DE.icrs;recno
 ; ; ;mag;deg;deg;mas;mas/yr;mas/yr;mas;mag; ;deg;deg;
------;-----------;-----------;-----;------------;------------;-------;--------;--------;------;------;-;------------;------------;--------
    38;00 00 26.65;-79 03 42.6; 8.65;000.11104694;-79.06183133;  23.84;  162.30;  -62.40;  0.78; 0.778; ;000.11312591;-79.06198299;      38
    39;00 00 26.85;-16 41 48.9; 7.46;000.11186148;-16.69693020;  10.98;  169.72;  -32.54;  1.18; 0.475; ;000.11229215;-16.69700929;      39
    41;00 00 27.98;+54 18 08.1; 8.70;000.11656351;+54.30223774;   3.42;    1.78;   -0.47;  1.04; 0.026; ;000.11657092;+54.30223660;      40
    40;00 00 29.27;+67 13 00.4;10.61;000.12196971;+67.21679125;  -3.40;   -2.99;   -3.18;  4.25; 0.570; ;000.12195094;+67.21678352;      41
    42;00 00 30.09;+25 50 41.2; 8.20;000.12538666;+25.84478059;   6.38;   20.70;   -6.51;  0.91; 0.387; ;000.12544256;+25.84476477;      42
    43;00 00 30.98;+59 33 35.1; 6.18;000.12908900;+59.55973786;   7.63;  -80.60;  -24.07;  0.60; 1.032; ;000.12870233;+59.55967936;      43
    44;00 00 31.85;-03 18 22.9; 7.91;000.13272230;-03.30636174;   2.41;   11.10;   16.04;  1.01; 1.104; ;000.13274932;-03.30632275;      44
    45;00 00 32.21;-72 12 09.8; 9.59;000.13420453;-72.20271031;  15.10;  -37.20;   -2.78;  1.92;      ; ;000.13390871;-72.20271707;      45
    46;00 00 32.29;-25 37 20.1; 8.57;000.13454429;-25.62225277;   1.19;   15.17;  -13.39;  1.20; 1.035; ;000.13458518;-25.62228532;      46
    47;00 00 32.45;-56 50 06.9;10.78;000.13519236;-56.83524773;  24.45;  -44.21; -145.90;  1.97; 1.150; ;000.13499593;-56.83560235;      47
    48;00 00 32.45;-40 41 25.6; 7.31;000.13522264;-40.69044664;   1.86;    4.08;  -11.28;  0.87; 1.164; ;000.13523572;-40.69047406;      48
    49;00 00 33.48;+16 40 08.5; 9.53;000.13950066;+16.66903183;   1.59;   26.66;    6.95;  1.28; 0.450; ;000.13956830;+16.66904872;      49
    50;00 00 34.29;-53 05 51.6; 6.49;000.14287059;-53.09766277;  16.89;   52.98;  -20.52;  0.80; 0.616; ;000.14308505;-53.09771264;      50
]]></CSV></DATA>
</TABLE>
<INFO name="matches" value="50">matching records</INFO>

<INFO name="Warning" value="No center provided++++"/>
<INFO name="Warning" value="truncated result (maxtup=50)"/><INFO name="QUERY_STATUS" value="OVERFLOW"> value="truncated result (maxtup=50)"</INFO>

</RESOURCE>
</VOTABLE>
