0.025827 8.080713 -2.964450 -31.729433 58.914085 -38.310940
-1.275629 2.734614 0.053139 19.549257 30.629965 -6.506386
15.332361 4.224397 -15.025769 54.239281 -15.984748 21.306578
-5.702172 6.756396 -7.549031 -65.450752 25.626844 9.740432
16.160419 -5.821236 4.720833 -22.776388 65.532310 -1.868893
1.646389 1.158305 0.591546 -29.724726 77.277710 -73.098145
-13.053738 18.466080 -28.148041 -40.875908 -22.245878 -18.043751
-2.880891 -8.448070 -1.818163 -35.146107 49.430305 49.296253
-11.461340 16.311430 -5.108019 21.005337 -15.118681 -11.439485
15.268728 -19.094494 -9.677943 41.259197 -18.707529 -41.644306
71.375946 -71.664192 19.429287 -10.981789 20.610569 -31.570906
-4.231503 -19.365309 8.187596 -42.550488 -32.453739 -10.134624
-0.208581 1.128649 -0.171941 -70.854729 -43.771648 16.933641
-66.352524 560.803467 123.441200 -2.273733 -9.980227 -12.692938
43.708549 19.354631 84.463844 2.042114 5.279550 30.242302
1.799723 -6.880809 2.796369 48.748409 -30.551313 -66.643944
2.540445 0.051262 5.215690 33.633286 39.710258 -47.738148
-14.474298 -19.563643 17.902449 -5.831834 15.135675 19.567583
38.706615 -2.657873 -17.907009 24.770834 -33.905479 36.542866
-5.266527 -2.273544 -1.184135 -29.424078 93.015411 -59.459343
4.057357 -0.912687 0.904244 -40.469608 55.060574 35.285225
-1.303464 0.281258 0.012917 41.940224 -7.943800 -145.097855
-7.806250 -0.175159 -6.206706 63.262028 -37.888763 47.174950
1.222435 8.523719 -6.599989 -2.132006 -11.983251 -51.571598
19.079382 6.300949 -8.807469 -23.821264 35.627403 -9.294279
4.125987 13.755800 -3.963723 -41.147156 -0.733903 34.685043
-13.346357 1.527144 2.322558 4.482742 -10.329773 42.628395
9.036732 10.179585 3.896630 70.591698 -64.116379 35.282501
-8.647019 -13.111195 3.870781 -49.012367 39.630344 44.436169
-201.772934 -872.434998 441.927856 -8.498470 -7.194326 -1.540845
16.229908 -8.925583 16.061670 48.497601 -18.364645 16.575880
-3.745770 2.213261 4.714409 63.402134 33.428040 -47.277847
-17.260685 -11.777775 -9.587094 56.629131 -24.444828 -16.889380
-13.827152 6.004979 9.799836 -20.741510 9.419538 -65.402168
23.164351 5.388078 33.178970 -22.431721 12.020141 -26.522808
3.624963 -3.691303 -10.680115 48.766342 -27.743471 1.141708
13.594352 -0.770969 -11.778484 -19.122461 -35.394745 11.549345
-8.353615 -0.786993 -2.513683 -109.646362 -4.715615 -25.322357
-9.311045 -6.715495 10.511316 -7.732570 -16.846508 5.382219
-2.297531 -2.940188 0.649947 -12.065851 5.840604 34.662785
15.545016 0.757427 4.587104 -45.732521 15.717751 -12.835273
5.378707 -8.197245 -22.354866 -23.831705 15.032106 7.166235
-44.046295 -0.453725 60.267010 -6.510259 13.371609 20.911499
25.140087 10.073436 -11.446546 -20.395988 -33.991859 -23.044043
-4.222254 -0.184318 1.340652 -15.055054 28.030735 -16.950460
4.007381 -3.159237 -1.078413 23.533104 53.769684 -2.334286
35.853195 -228.481735 20.926094 -8.513531 -10.386696 8.142579
-0.833983 -13.726187 -10.111087 51.958820 8.203524 -36.158871
-7.240408 -2.534394 0.846129 -47.480965 25.189926 -64.632271
0.802533 -1.637023 -1.044656 22.790436 15.899980 -41.754196
9.413882 14.694675 -5.418984 52.573318 18.180336 4.940295
1.582587 -17.179682 -18.700514 22.965572 -16.358677 -54.807854
-9.467786 -1.817237 -5.676527 -22.983295 24.780905 47.517323
-11.102208 -12.862716 -4.187333 -31.687563 -6.902388 12.828110
7.084059 -6.692773 2.536189 -22.822159 -1.457132 -12.272088
42.631336 -120.182426 5.749169 -1.237083 5.905797 -9.762904
1.128058 3.243059 -6.014451 -15.752635 -16.298271 -29.100000
-11.968885 10.144755 8.714744 18.719990 45.116985 4.854864
0.774245 1.312957 -3.792090 -27.029503 -13.202837 11.939921
-60.324425 -12.231869 54.002277 21.155085 30.343054 -10.495167
23.916525 -33.826847 4.003840 32.863541 -23.987844 23.664810
-5.343641 -1.854351 -2.268443 53.783360 35.634983 -13.539653
-9.857009 -17.254686 -10.242846 0.983705 12.801386 -33.869843
-4.671257 3.882003 12.206463 46.734768 4.103186 17.603930
5.123148 -12.195848 -3.282758 -7.293432 -56.313538 40.512653
-18.580616 3.140517 17.910492 -28.298084 3.508173 -18.647066
1.939274 41.801842 -11.163804 -16.607002 34.418011 -35.540874
-58.371174 0.054733 149.042465 10.257238 15.948956 -2.904238
26.706383 -95.204277 55.863918 6.427148 -7.299725 25.122850
